source,raw_input_label,cleaned_input_label,match_score,matched_asctb_id,matched_asctb_label,exact_match_found_in_asctb
CellTypist,adventitial fibroblasts,adventitial fibroblast,0.625990092754364,ASCTB CT_ID UNK,perichondrial fibroblasts,False
CellTypist,alveolar fibroblasts,alveolar fibroblast,0.7503905892372131,CL:4028004,alveolar type 1 fibroblast,False
CellTypist,alveolar macrophages,alveolar macrophage,0.9366430044174194,ASCTB CT_ID UNK,alveolar macrophage proliferating,False
CellTypist,alveolar mï† ccl3+,alveolar m ccl3,0.7941004037857056,ASCTB CT_ID UNK,alveolar macrophage CCL3+,False
CellTypist,alveolar mï† mt-positive,alveolar m mtpositive,0.7022907733917236,ASCTB CT_ID UNK,alveolar macrophage MT-positive,False
CellTypist,alveolar mï† proliferating,alveolar m proliferating,0.7384202480316162,ASCTB CT_ID UNK,alveolar macrophage proliferating,False
CellTypist,at1,at1,0.2462996542453766,CL:0002062,AT1,True
CellTypist,at2,at2,0.23461095988750458,CL:0002062,AT1,False
CellTypist,at2 proliferating,at2 proliferating,0.40604346990585327,CL:0002063,AT2,False
CellTypist,b cells,b cell,0.7005406022071838,CL:0000236,B cell,True
CellTypist,basal resting,basal resting,0.4230489134788513,CL:1000348,basal cell,False
CellTypist,cd4 t cells,cd4 t cell,0.7150702476501465,CL:0000905,CD4+ T cell effector memory,False
CellTypist,cd8 t cells,cd8 t cell,0.7356367111206055,CL:0000913,CD8+ T cell effector memory,False
CellTypist,classical monocytes,classical monocyte,0.5843422412872314,CL:0000860,classical monocyte,True
CellTypist,club (nasal),club nasal,0.36602896451950073,CL:0019002,chondrocyte,False
CellTypist,club (non-nasal),club nonnasal,0.19410081207752228,CL:0000158,club cell,False
CellTypist,dc1,dc1,0.34511202573776245,CL:0002399,cDC2 myeloid dendritic cell,False
CellTypist,dc2,dc2,0.2916159927845001,CL:0002399,cDC2 myeloid dendritic cell,False
CellTypist,deuterosomal,deuterosomal,0.6854729056358337,ASCTB CT_ID UNK,airway deuterosomal cell,False
