source,raw_input_label,cleaned_input_label,match_score_1,matched_asctb_id_1,matched_asctb_label_1,matched_asctb_text_1,match_score_2,matched_asctb_id_2,matched_asctb_label_2,matched_asctb_text_2
Azimuth,EC aerocyte capillary,ec aerocyte capillary,0.601205050945282,CL:4028003,CAP2 aerocyte capillary gCap,CAP2 aerocyte capillary gCap capillary endothelial cell 2 An alveolar capillary endothelial cell that is located proximally to alveolar capillary type 1 endothelial cells and in close apposition to alveolar type 1 epithelial cells (also known as type I pneumocytes).,0.5038490891456604,CL:0002062,AT1,"AT1 type I pneumocyte A type I pneumocyte is a flattened, branched pneumocyte that covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange."
Azimuth,EC general capillary,ec general capillary,0.4777963161468506,CL:4028002,CAP1 general capillary aCap,CAP1 general capillary aCap capillary endothelial cell 1 An alveolar capillary endothelial cell that is located distally to alveolar capillary type 2 endothelial cells.,0.42838796973228455,CL:4028003,CAP2 aerocyte capillary gCap,CAP2 aerocyte capillary gCap capillary endothelial cell 2 An alveolar capillary endothelial cell that is located proximally to alveolar capillary type 1 endothelial cells and in close apposition to alveolar type 1 epithelial cells (also known as type I pneumocytes).
Azimuth,EC venous pulmonary,ec venou pulmonary,0.6320372819900513,CL:0002543,pulmonary venous endothelial cell,pulmonary venous endothelial cell vein endothelial cell An endothelial cell that is part of the vein.,0.503114640712738,CL:0002543,venous endothelial cell,venous endothelial cell vein endothelial cell An endothelial cell that is part of the vein.
Azimuth,EC arterial,ec arterial,0.5133800506591797,CL:1000413,arterial endothelial cell,arterial endothelial cell arterial endothelial cell A blood vessel endothelial cell that is part of an arterial endothelium.,0.46081072092056274,CL:0002543,venous endothelial cell,venous endothelial cell vein endothelial cell An endothelial cell that is part of the vein.
Azimuth,Club (non-nasal),club nonnasal,0.19410081207752228,CL:0000158,club cell,club cell club cell of bronchiole Epithelial progenitor cell of the lung. Club cells are dome-shaped with short microvilli but no cilia. They function to protect the bronchiolar epithelium. Club cells also multiply and differentiate into ciliated cells to regenerate the bronchiolar epithelium.,0.15023650228977203,CL:0000094,neutrophil,neutrophil neutrophil A leukocyte with abundant granules in the cytoplasm.
Azimuth,Smooth muscle,smooth muscle,0.5514345765113831,CL:0019018,vascular smooth muscle cell,vascular smooth muscle cell blood vessel smooth muscle cell A smooth muscle cell that is part of any blood vessel.,0.5367711186408997,CL:0000186,secondary crest myofibroblasts,secondary crest myofibroblasts secondary crest myofibroblasts An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell.
Azimuth,Suprabasal,suprabasal,0.610107958316803,ASCTB CT_ID UNK,suprabasal cell,suprabasal cell,0.2658178508281708,CL:0000313,submucosal gland serous cells,"submucosal gland serous cells serous cell of submucosal glands Columnar glandular cell with irregular nucleus, copious granular endoplasmic reticulum and supranuclear granules. Secretes a watery fluid containing proteins known as serous fluid."
Azimuth,AT1,at1,1.0,CL:0002062,AT1,"A type I pneumocyte is a flattened, branched pneumocyte that covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange.",0.17049828171730042,CL:0000895,CD4+ T cell naive,"CD4+ T cell naive CD4+ T cell naive An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low."
Azimuth,Mast cells,mast cell,0.66742342710495,CL:0000484,connective tissue mast cell,"connective tissue mast cell connective tissue mast cell Mast cell subtype whose granules contain both the serine proteases tryptase and chymase. These cells are primarily found in connective tissue, such as the peritoneal cavity, skin, and intestinal submucosa. Their development is T-cell independent.",0.656552255153656,CL:0000485,tissue resident mucosal type mast cell,"tissue resident mucosal type mast cell mucosal type mast cell Mast cell subtype that contains only the serine protease trypase in its granules. These cells are primarily found in mucosal tissue, such as intestinal mucosa and alveoli. They depend upon T-cells for development of phenotype."
Azimuth,Interstitial Mφ perivascular,interstitial m perivascular,0.4262758791446686,ASCTB CT_ID UNK,perichondrial fibroblasts,perichondrial fibroblasts,0.4237893521785736,CL:0002543,pulmonary venous endothelial cell,pulmonary venous endothelial cell vein endothelial cell An endothelial cell that is part of the vein.
Azimuth,DC2,dc2,0.2916159927845001,CL:0002399,cDC2 myeloid dendritic cell,cDC2 myeloid dendritic cell myeloid dendritic cell cDC2 A myeloid dendritic cell found in the blood that is CD1c-positive.,0.21030788123607635,CL:0000784,plasmacytoid dendritic cell,"plasmacytoid dendritic cell plasmacytoid dendritic cell A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection."
Azimuth,Monocyte-derived Mφ,monocytederived m,0.42140671610832214,CL:0000875,non-classical monocyte,"non-classical monocyte non-classical monocyte A type of monocyte characterized by low expression of CCR2, low responsiveness to monocyte chemoattractant CCL2/MCP1, low phagocytic activity, and decrease size relative to classical monocytes, but increased co-stimulatory activity. May also play a role in tissue repair.",0.37859976291656494,CL:0000860,classical monocyte,"classical monocyte classical monocyte A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."
Azimuth,DC1,dc1,0.34511202573776245,CL:0002399,cDC2 myeloid dendritic cell,cDC2 myeloid dendritic cell myeloid dendritic cell cDC2 A myeloid dendritic cell found in the blood that is CD1c-positive.,0.22174666821956635,CL:0000784,plasmacytoid dendritic cell,"plasmacytoid dendritic cell plasmacytoid dendritic cell A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection."
Azimuth,Migratory DCs,migratory dc,0.4276086986064911,ASCTB CT_ID UNK,migratory dendritic cell,migratory dendritic cell,0.14675995707511902,ASCTB CT_ID UNK,airway deuterosomal cell ,airway deuterosomal cell 
Azimuth,Plasmacytoid DCs,plasmacytoid dc,0.5586413145065308,CL:0000784,plasmacytoid dendritic cell,"plasmacytoid dendritic cell plasmacytoid dendritic cell A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection.",0.5519440770149231,CL:0002399,cDC2 myeloid dendritic cell,cDC2 myeloid dendritic cell myeloid dendritic cell cDC2 A myeloid dendritic cell found in the blood that is CD1c-positive.
Azimuth,B cells,b cell,1.0,CL:0000236,B cell,A lymphocyte of B lineage that is capable of B cell mediated immunity.,0.5306422114372253,CL:0000786,plasma cell,"plasma cell plasma cell A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin."
Azimuth,Plasma cells,plasma cell,1.0,CL:0000786,plasma cell,"A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin.",0.5832574367523193,CL:0000556,lung megakaryocyte,"lung megakaryocyte lung megakaryocyte A giant cell 50 to 100 micron in diameter, with a greatly lobulated nucleus, found in the bone marrow; mature blood platelets are released from its cytoplasm."
Azimuth,Classical monocytes,classical monocyte,1.0,CL:0000860,classical monocyte,"A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes.",0.5637682676315308,CL:0000860,classical monocyte,"classical monocyte classical monocyte A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."
Azimuth,Non-classical monocytes,nonclassical monocyte,1.0,CL:0000875,non-classical monocyte,"A type of monocyte characterized by low expression of CCR2, low responsiveness to monocyte chemoattractant CCL2/MCP1, low phagocytic activity, and decrease size relative to classical monocytes, but increased co-stimulatory activity. May also play a role in tissue repair.",0.5831888318061829,CL:0000860,classical monocyte,"classical monocyte classical monocyte A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."
Azimuth,Basal resting,basal resting,0.4230489134788513,CL:1000348,basal cell,basal cell basal cell of epithelium of trachea A basal cell that is part of the epithelium of trachea.,0.39226001501083374,CL:1000351,basal cell,basal cell basal cell of epithelium of respiratory bronchiole A basal cell that is part of the epithelium of respiratory bronchiole.
Azimuth,Alveolar Mφ CCL3+,alveolar m ccl3,0.7941004037857056,ASCTB CT_ID UNK,alveolar macrophage CCL3+,alveolar macrophage CCL3+,0.5781552195549011,ASCTB CT_ID UNK,alveolar macrophage MT-positive,alveolar macrophage MT-positive
Azimuth,Alveolar macrophages,alveolar macrophage,1.0,CL:0000583,alveolar macrophage,"A tissue-resident macrophage found in the alveoli of the lungs. Ingests small inhaled particles resulting in degradation and presentation of the antigen to immunocompetent cells. Markers include F4/80-positive, CD11b-/low, CD11c-positive, CD68-positive, sialoadhesin-positive, dectin-1-positive, MR-positive, CX3CR1-negative.",0.8608389496803284,ASCTB CT_ID UNK,alveolar macrophage CCL3+,alveolar macrophage CCL3+
Azimuth,Transitional Club-AT2,transitional clubat2,0.1565302461385727,CL:0000158,club cell,club cell club cell of bronchiole Epithelial progenitor cell of the lung. Club cells are dome-shaped with short microvilli but no cilia. They function to protect the bronchiolar epithelium. Club cells also multiply and differentiate into ciliated cells to regenerate the bronchiolar epithelium.,0.13796545565128326,CL:1001566,bronchioalveolar stem cell,"bronchioalveolar stem cell bronchioalveolar stem cell OBSOLETE. A respiratory stem cell found at the junction of the terminal (conductive) bronchiole and the respiratory bronchiole, which gives rise to alveolar cell types and club cells in response to lung injury."
Azimuth,CD4 T cells,cd4 t cell,0.7150702476501465,CL:0000905,CD4+ T cell effector memory,"CD4+ T cell effector memory CD4+ T cell effector memory CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",0.6819449663162231,ASCTB CT_ID UNK,CD4+ T cell resident memory,CD4+ T cell resident memory
Azimuth,Pericytes,pericyte,0.5549341440200806,CL:0009089,lung pericyte,lung pericyte lung pericyte A pericyte cell that is part of a lung.,0.42978376150131226,ASCTB CT_ID UNK,perichondrial fibroblasts,perichondrial fibroblasts
Azimuth,Mesothelium,mesothelium,0.525190532207489,CL:1000493,mesothelial cell,mesothelial cell mesothelial cell of visceral pleura A mesothelial cell that is part of the visceral pleura.,0.3935617208480835,ASCTB CT_ID UNK,suprabasal cell,suprabasal cell
